game_id,scene_id,character_id,scene_title,char_name,char_role,game_title,year,type,chronology_order
re,re_01,16,Opening FMV,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_01,6,Opening FMV,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_01,15,Opening FMV,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_02,16,Inside The Mansion,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_02,17,Inside The Mansion,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_02,6,Inside The Mansion,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_03,17,The Dining Room,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_04,16,Mysterious Puddle,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_04,17,Mysterious Puddle,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_04,6,Mysterious Puddle,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_05,16,Researcher's Will Event (Note: This scene will only happen if you go,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_05,17,Researcher's Will Event (Note: This scene will only happen if you go,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_05,18,Researcher's Will Event (Note: This scene will only happen if you go,Brad Vickers,support,Resident Evil,1996,mainline,2
re,re_07,16,Muffled Conversation (Note: You must have heard cinema 7a to see,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_07,17,Muffled Conversation (Note: You must have heard cinema 7a to see,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_07,6,Muffled Conversation (Note: You must have heard cinema 7a to see,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_08,16,Reunite With Wesker,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_08,18,Reunite With Wesker,Brad Vickers,support,Resident Evil,1996,mainline,2
re,re_08,6,Reunite With Wesker,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_10,16,Snake Confrontation,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_10,17,Snake Confrontation,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_12,16,Trust Barry?,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_12,17,Trust Barry?,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_14,16,Slideshow,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_14,17,Slideshow,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_14,6,Slideshow,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_14,15,Slideshow,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_15,16,Tyrant CGI,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_15,17,Tyrant CGI,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_15,6,Tyrant CGI,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_15,15,Tyrant CGI,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_16,16,Radio Transmission #3,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_16,17,Radio Transmission #3,Barry Burton,hero,Resident Evil,1996,mainline,2
re,re_16,18,Radio Transmission #3,Brad Vickers,support,Resident Evil,1996,mainline,2
re,re_16,15,Radio Transmission #3,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_18,16,Opening FMV,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_18,6,Opening FMV,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_18,15,Opening FMV,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_19,16,Inside the Mansion,Jill Valentine,hero,Resident Evil,1996,mainline,2
re,re_19,6,Inside the Mansion,Albert Wesker,villain,Resident Evil,1996,mainline,2
re,re_19,15,Inside the Mansion,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_21,20,Searching for Wesker,Rebecca Chambers,support,Resident Evil,1996,mainline,2
re,re_21,15,Searching for Wesker,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_22,20,Moonlight Sonata,Rebecca Chambers,support,Resident Evil,1996,mainline,2
re,re_22,15,Moonlight Sonata,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_23,18,Meet Yawn the Giant Snake,Brad Vickers,support,Resident Evil,1996,mainline,2
re,re_23,20,Meet Yawn the Giant Snake,Rebecca Chambers,support,Resident Evil,1996,mainline,2
re,re_23,15,Meet Yawn the Giant Snake,Chris Redfield,hero,Resident Evil,1996,mainline,2
re,re_24,20,Draining the Pool CGI,Rebecca Chambers,support,Resident Evil,1996,mainline,2
